label,noun_count_percent,adj_count_percent,adv_count_percent,pro_count_percent,char_count,word_density,punctuation_count,upper_case_word_count,vader_pos,vader_neg,vader_neu,vader_compound,response,Response_emotion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emotional_sim_response/context/0,Emotional_sim_response/context/1,valence_diff,arousal_diff,dominance_diff
SARCASM,0.210526316,0.052631579,0,0.105263158,4.263157895,0.224376731,0.263157895,0.105263158,0.2,0.171,0.628,0.57655,"    Hey , but what do they have to lose ? Asking for some black friends .",anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031942676,0.017681335,-0.38,0.387,0.344
SARCASM,0.166666667,0,0.111111111,0.055555556,4.888888889,0.271604938,0.277777778,0.166666667,0.318,0.267,0.415,0.6366,"    I love how the Stupid Party frequently accuses liberals of being "" tards "" .",sadness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54879159,0.063574801,0.006,0.983,-0.254
SARCASM,0.28,0.04,0.16,0.08,5.16,0.2064,0.2,0.04,0.352,0.043,0.605,0.9324,  we've been laughing about that when his friends didn't want gov jobs . Being a billionaire is way more fun than President .,joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.413107281,0.104025208,0.612,0.618,0.047
SARCASM,0.111111111,0.148148148,0,0.037037037,5.037037037,0.186556927,0.185185185,0.037037037,0,0.138,0.862,0.25305,"$ FNMA sweep accounting is antiGAAP . Divs in excess of stated rate , accounted for as operating expense ? Its accounted for as stolen $",fear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.140310279,0.069674289,-0.53,0.472,-0.211
SARCASM,0.227272727,0.045454545,0.136363636,0.136363636,4.954545455,0.225206612,0.136363636,0.136363636,0,0,1,0.5,    I remember a few months back we were saying the Americans shouldn't tell us how to vote on brexit,anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236011504,0.00695801,-0.48,-0.094,0.142
SARCASM,0.117647059,0.058823529,0,0.058823529,3.823529412,0.224913495,0.117647059,0.176470588,0,0.216,0.784,0.352,"  Last time I checked , there ’ s no Y in “ Science Fiction ”",joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007393011,0.107544234,0.27,-0.021,-1.187
SARCASM,0.142857143,0.142857143,0.047619048,0.142857143,4.857142857,0.231292517,0.238095238,0.238095238,0.353,0,0.647,0.8982,      I mean if I was a Muslim American I'd feel perfectly safe under a Trump presidency .,joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026470254,0.138480397,-0.157,-0.299,-0.54
SARCASM,0.095238095,0,0.047619048,0.047619048,4.904761905,0.233560091,0.476190476,0.142857143,0,0,1,0.5,"    Welp , look at what was taken at Game 5 earlier in the series ... #OwnIt #OhhhTheBurn <URL>",joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117135554,0.056070309,-0.574,-0.349,-0.333
SARCASM,0.2,0.16,0.12,0,4.96,0.1984,0.28,0.08,0,0,1,0.5,"  now jang / Geo didn't find anything new & Qayyum Siddiqi reporting : SC can't take up tht case , technical grounds etc",anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.378545281,0.089740101,-0.267,0.297,0.384
SARCASM,0.166666667,0,0.083333333,0.083333333,4.666666667,0.388888889,0.083333333,0.166666667,0.184,0.224,0.592,0.42345,  Nice to see our PM outright lying to the President,anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093807067,0.122701633,-0.977,0.227,-0.453
SARCASM,0.238095238,0.047619048,0.047619048,0.095238095,5.19047619,0.247165533,0.285714286,0.095238095,0.063,0.113,0.824,0.38685,"    Hopefylly you qualify , proceed , then get collection of any fake glasses you want . but #Winning",joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071936011,0.008234932,-0.546,0.514,-0.009
SARCASM,0.19047619,0.047619048,0,0.095238095,5,0.238095238,0.19047619,0.285714286,0,0.234,0.766,0.18155,      The craziest thing about his tweet is he is calling SOMEONE ELSE OUT for being racist .,anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.084604712,0.058040462,-0.525,-0.281,-0.447
SARCASM,0.19047619,0.047619048,0.095238095,0.095238095,4.761904762,0.22675737,0.285714286,0.19047619,0.118,0.342,0.54,0.17135,"    To answer your rather stupid question , no I do not enjoy harassing women at all _ <URL>",anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010681152,0.198019505,0.367,0.189,0.215
SARCASM,0.151515152,0.121212121,0.181818182,0.121212121,5.060606061,0.153351699,0.151515152,0.090909091,0.094,0,0.906,0.7202,    Sounds good to me . I mean that's the same standard they you when shooting black kids in America why so why not use if when assassinating foreign leaders ?,joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01957055,0.183754178,-0.454,0.685,-0.639
SARCASM,0.269230769,0.076923077,0.076923077,0.076923077,4.884615385,0.187869822,0.307692308,0.115384615,0.153,0.21,0.637,0.3165,      Not enough . Dnt blame me blame electoral college . Libs going to cry that it's rigged ? Tables have turned .,anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144281617,0.019253515,-0.521,0.409,-0.794
SARCASM,0.133333333,0.133333333,0,0.066666667,4.333333333,0.288888889,0.4,0.2,0.367,0.16,0.473,0.77115,"      please , do read your own damn comment . Lmao .",joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008091076,0.093952596,0.591,-0.39,0.252
SARCASM,0.153846154,0.076923077,0,0,5.076923077,0.390532544,0.230769231,0.153846154,0,0,1,0.5,    Your President spends most of the day bashing people .,anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005421248,0.005423094,-0.161,0.199,-0.265
SARCASM,0.05,0.05,0.1,0,4.8,0.24,0.25,0.1,0.202,0,0.798,0.7924,    But in the end there will finally be peace in the Middle East ! / s #wartoendallwars,joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.069538035,0.041417536,0.991,-1.042,0.674
SARCASM,0.111111111,0.037037037,0.037037037,0.074074074,4.555555556,0.16872428,0.259259259,0.111111111,0,0.106,0.894,0.3194,"  Ofc he is'nt the mayor of Islam doesn t mean ignore his own , Don't see any status on EID , Ramadan , Muharram  ",anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029725018,0.061132962,-1.156,0.148,-0.334
SARCASM,0.136363636,0.045454545,0.090909091,0,4.681818182,0.212809917,0.5,0.227272727,0.155,0.215,0.63,0.2496,"  alert : Yeah , but doesnt count cuz great PR & #MSM didn't report , right ?   #DNCLeaks  ",fear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11585284,0.073953532,0.724,-0.34,0.686
SARCASM,0.19047619,0,0.095238095,0.142857143,4.476190476,0.213151927,0.238095238,0.142857143,0,0,1,0.5,  Naw . I was just an attendee . Invited because it was fundraiser . Because I had money .,joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004416277,0.0919874,0.36,0.03,-0.023
SARCASM,0.137931034,0,0.137931034,0.103448276,4.482758621,0.154577883,0.24137931,0.034482759,0.065,0.242,0.692,0.1868,  broken system . Can't do much about it . Sucks that we pay taxes for this . Cant even refuse because then we'll go to jail .,sadness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233994111,0.002386306,-0.881,0.076,-0.116
SARCASM,0.125,0.041666667,0.083333333,0,4.083333333,0.170138889,0.208333333,0.041666667,0.268,0,0.732,0.83525,  Thank goodness ... Power was back on after 16 hours . 😱 😱 😠 Could have been only in 2020 🤣 🤣,joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036388318,0.08755616,-0.041,-0.197,0.1
SARCASM,0.055555556,0,0,0.055555556,5.444444444,0.302469136,0.333333333,0.166666667,0,0.097,0.903,0.44965,      Hysterical that they used Williams as a source 4 this story ! #Liar #HillaryLies,anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.107885189,0.12986801,0.195,0.3,-0.444
SARCASM,0.15,0,0.05,0.05,4.5,0.225,0.3,0.1,0.225,0.299,0.476,0.29905,"    Yes , like how "" all of my wedding activities have been ruined by assholes . """,sadness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07025881,0.171958625,-0.19,0.942,-0.117
SARCASM,0.25,0,0.083333333,0.083333333,5.083333333,0.211805556,0.208333333,0.083333333,0,0.196,0.804,0.17015,"    "" Not everyone is born with a silver spoon "" yet you defend those brutalizing the protestors who have little ?",anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.060303702,0.176436566,0.09,-0.091,0.132
SARCASM,0.1875,0,0,0.0625,4.625,0.2890625,0.375,0.0625,0.11,0,0.89,0.57655,"  Yeah but that's the Old Testament , we have to unhitch from that ...",anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020430982,0.307155733,0.349,-0.554,0.381
SARCASM,0.090909091,0,0.090909091,0,3.909090909,0.355371901,0.181818182,0.090909091,0,0,1,0.5,  some in Billy rays one and only hit .,anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.705139103,0.119466981,-0.899,-0.309,-0.504
SARCASM,0.181818182,0,0,0.090909091,4.909090909,0.446280992,0.181818182,0.272727273,0.217,0,0.783,0.6806,    Must be CPFC as Nigel Farage supports them,joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.311893898,0.999999989,0.469,-0.826,0.084
SARCASM,0.047619048,0.095238095,0,0,5.238095238,0.249433107,0.333333333,0.19047619,0.202,0,0.798,0.79295,"      Her father is an immigrant , from Palestine . Successful CA real estate developer . Muslim .",joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066436225,0.025812262,0.455,-0.383,-0.275
SARCASM,0.238095238,0.047619048,0.047619048,0.047619048,4.571428571,0.217687075,0.285714286,0.142857143,0,0,1,0.5,"      Gee give em a break , they ’ ve never had to defend Australia before ! #auspol",joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033097971,0.033407942,1.012,0.208,0.245
SARCASM,0.166666667,0.055555556,0.055555556,0.055555556,4.777777778,0.265432099,0.277777778,0.111111111,0,0.36,0.64,0.13245,"    rob decries fascism , then silences all those that dare disagree w / him .",anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.151876155,0.047219525,-2.932,1.094,-1.484
SARCASM,0.181818182,0.045454545,0,0.045454545,4.454545455,0.202479339,0.363636364,0.136363636,0.433,0,0.567,0.94,      Awesome ! ! ! Everybody does it . That ’ s the greatest reason to do something .,joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059923944,0.165982538,-0.116,-0.248,0.775
SARCASM,0.285714286,0,0,0.285714286,4.642857143,0.331632653,0.214285714,0.142857143,0,0,1,0.5,    It tells you everything you need to know about them _,joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01594497,0.005980386,0.241,-0.63,-0.215
SARCASM,0.117647059,0,0.058823529,0.117647059,5.117647059,0.301038062,0.235294118,0.117647059,0.174,0.128,0.698,0.60115,    Or you commenting on a story you seemingly have no interest in ? #JustSayin,anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017032343,0.092012714,0.548,-0.15,-0.101
SARCASM,0.24,0.08,0,0.16,4.48,0.1792,0.28,0.2,0.102,0.231,0.667,0.2798,"      Have at it soyboy , I ’ m sure you & your 3 followers are gonna cause some serious havoc <URL>",joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031808774,0.167390083,0.069,-0.129,-0.394
SARCASM,0.153846154,0.076923077,0.076923077,0.076923077,4.423076923,0.170118343,0.115384615,0.115384615,0.066,0.275,0.659,0.1546,    Georgie hating on women again I see . Only got her job in news by wearing a short skirt and low cut top,anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096097956,0.07530446,0.018,-0.258,-0.617
SARCASM,0.166666667,0,0.166666667,0.25,4.083333333,0.340277778,0.166666667,0.083333333,0.187,0,0.813,0.6591,  Im sure he'll tell us when its time to sell,joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.277331299,0.146959724,-0.139,-0.124,-0.191
SARCASM,0.2,0.05,0,0.05,4.6,0.23,0.3,0.15,0,0.251,0.749,0.21405,"      Wait I'm confused , did President Trump shoot down the jet or did Iran ? 🤔",fear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.084413001,0.01045821,-0.413,0.011,0.097
SARCASM,0.105263158,0.105263158,0.105263158,0.105263158,4.526315789,0.238227147,0.315789474,0.105263158,0.276,0.171,0.553,0.63385,    Oh . How scandalous ! You want people to feel comfortable ! How dare you !,joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.132982805,0.346006967,0.328,0.449,-0.119
SARCASM,0.25,0.041666667,0.041666667,0.125,4.458333333,0.185763889,0.208333333,0.083333333,0,0,1,0.5,"  But wait , that doesn't make sense to me . I keep being told Kelly throws his players under the bus .",anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018396513,0.019789732,-0.731,0.058,0.049
SARCASM,0.136363636,0.045454545,0.090909091,0.136363636,4.818181818,0.219008264,0.409090909,0.181818182,0.144,0,0.856,0.70095,"      Right . We should definitely be listening to you , Louise . You just know things . <URL>",joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014305861,0.238209995,0.478,-0.636,-0.195
SARCASM,0.052631579,0.052631579,0,0.105263158,4.473684211,0.235457064,0.368421053,0.105263158,0.373,0.129,0.498,0.8544,    haha ! and some cry about triple talaq like they care women ... what an .,sadness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028807214,0.310852095,1.654,0.201,0.287
SARCASM,0.216216216,0.054054054,0.027027027,0.162162162,4.621621622,0.124908692,0.297297297,0.054054054,0.334,0,0.666,0.93795,"    You know you can listen to them on like , technology . Like spotify and you tube . Dont be bitter . Also , I'm 90 % sure they did play Chicago . #imockwithlove",anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007254905,0.23327488,0.104,-0.186,-0.081
SARCASM,0.25,0,0.0625,0,4.0625,0.25390625,0.4375,0.1875,0,0.416,0.584,0.1546,"    > was being exploited , quit , & now fights for UBI .",anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052175351,0.378728414,-0.797,0.117,-0.3
SARCASM,0.166666667,0,0,0.083333333,4.583333333,0.381944444,0.25,0.25,0,0,1,0.5,  I was invited by the ministry of tourism _  ,joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098123209,0.107923201,-0.529,0.083,-0.211
SARCASM,0.1,0,0,0.05,4.55,0.2275,0.25,0.15,0.08,0.125,0.795,0.39885,      His job is teaching a course on ethics at William and Mary . No kidding .,anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165700629,0.166416573,0.345,-0.275,-0.136
SARCASM,0.227272727,0,0.136363636,0.090909091,4.681818182,0.212809917,0.227272727,0.090909091,0.143,0.098,0.759,0.625,    no you don't . They shur down exit ramps for hours simply trying to save time by speeding .,anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.508723804,0.024211872,-0.125,0.34,0.373
SARCASM,0.25,0.125,0.0625,0.125,5.25,0.328125,0.25,0.0625,0.215,0,0.785,0.75465,  Every dentist I've ever known has had a major sweet tooth themself ! #StoryDam,joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.086293451,0.098692938,-0.231,-0.155,-0.416
SARCASM,0.173913043,0.043478261,0.086956522,0.086956522,4.260869565,0.185255198,0.434782609,0.086956522,0,0.192,0.808,0.1913,    ? ? ? Man that is causing harm to people he's never met even in his own country ... .,anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209641015,0.109824877,-0.371,-0.231,-0.164
SARCASM,0.166666667,0.083333333,0.05,0.05,4.3,0.071666667,0.233333333,0.083333333,0.076,0.159,0.765,0.3634,"      No , is not a 🧁 . No one felt we should have been there because of our 🧁 schedule . stepped up , dug deep and eared the win over a tough opponent . This post isn ’ t intended to call OSU a 🧁 ... It ’ s just being sarcastic . #ALLIN #Clemson",anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026682928,0.084739677,-0.91,-0.171,-0.06
SARCASM,0.142857143,0.071428571,0.071428571,0.071428571,4.142857143,0.295918367,0.285714286,0.142857143,0.219,0,0.781,0.62055,  Gold and not #Bitcoin ? I ’ m shocked beyond words .,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004471088,0.042940365,-1.222,0.466,0.424
SARCASM,0.176470588,0.117647059,0.058823529,0.117647059,6,0.352941176,0.411764706,0.117647059,0.396,0.079,0.525,0.9251,"  Extremely boring response , but lovely to hear you're considerate about your customers ...  ",joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006993962,0.138419657,0.274,-0.491,0.642
SARCASM,0.066666667,0.066666667,0,0,5.333333333,0.355555556,0.4,0.2,0.143,0,0.857,0.564,"      Sherwood Forest in Annapolis is a $ $ , exclusive neighborhood",joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105572594,0.195162456,2.91,-1.09,0.59
SARCASM,0.071428571,0,0.142857143,0,4.071428571,0.290816327,0.285714286,0.142857143,0.179,0,0.821,0.62055,    Of course not . America is not oil greedy . 😠,anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10035338,0.059733164,-1.443,0.21,-0.456
SARCASM,0.148148148,0.037037037,0,0.037037037,4.814814815,0.178326475,0.37037037,0.037037037,0,0,1,0.5,".   : From FNs ' child welfare to resource development , the Conservatives ' response has been , "" See you in court "" #cdnpoli",anger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098563475,0.032052733,0.276,-0.144,0.001
SARCASM,0.25,0.055555556,0.055555556,0.166666667,5.25,0.145833333,0.277777778,0.083333333,0.059,0.159,0.782,0.21365,"    You know what they say , any joke that needs explanation wasn't funny . Maybe you meant ... I'll rise above having to explain the difference while referencing KU . Oooops my bad",surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09225959,0.145213801,-0.122,0.262,0.138
